Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
46,"90,92",¿Usted le gritó?,me llegas al pincho,0.3729,11.39,0.27,32.78,54.09,1.47
47,"92,94",Oh.,gay,0.7833,0.53,0.0,33.98,65.49,0.01
48,"94,96",¡Qué chungo!,Tengo miedo,0.4656,5.21,0.01,49.24,45.52,0.01
49,"96,98",Buenas noches.,maten a los blancos,0.3986,38.21,0.07,48.47,11.53,1.72
50,"98,100",NOOO! NOOO!,nono,0.6280,14.16,0.13,69.71,13.72,2.29
51,"100,102",,,,7.54,0.07,59.32,32.94,0.13
52,"102,104",,,,3.12,0.05,77.4,19.34,0.08
53,"104,106",Thanks for watching!,No quiero problemas,0.7988,0.15,0.01,99.8,0.03,0.0
54,"106,108",ご視聴ありがとうございました,Alguien ayúdeme,0.7367,0.04,0.0,99.88,0.06,0.0
55,"108,110",Deve ter.,desahuevate,0.4995,2.12,0.0,15.12,82.73,0.02
56,"110,112",Y diles.,Eres quien está mal aquí,0.5070,3.54,0.04,94.77,1.63,0.02
57,"112,114","que paguen, ¿sí o no?",No quiero pelear,0.3502,1.92,0.03,93.84,4.2,0.01
58,"114,116",Thank you for watching!,No quiero problemas,0.7926,6.3,0.07,87.44,6.11,0.08
59,"116,118",¿Te meteré esto?,No merezco esto,0.3986,20.03,0.2,78.6,1.06,0.11
60,"118,120",,,,4.67,0.06,93.87,1.35,0.05
61,"120,122",culo y le volaré.,te romperé el culo,0.3974,2.89,0.07,96.72,0.29,0.03
62,"122,124",en las tripas.,te vas a la mierda,0.3791,8.26,0.63,74.3,13.39,3.42
63,"124,126",,,,1.47,0.0,62.46,36.04,0.03
64,"126,128",,,,2.12,0.01,69.06,28.79,0.02
65,"128,130",НАПРЯЖЁННАЯ МУЗЫКА,haré una masacre,0.6157,0.3,0.01,96.99,2.68,0.03
66,"130,132",ご視聴ありがとうございました,Alguien ayúdeme,0.7367,0.01,0.0,99.51,0.47,0.0
67,"132,134",terimakasih,terruco,0.4265,0.04,0.02,99.86,0.06,0.02
68,"134,136",তাধা নি তলো এ গন্দেগে,guarayo,0.6238,1.05,0.01,6.96,90.4,1.59
69,"136,138",Oh,orto,0.7404,0.1,0.07,99.68,0.04,0.12
70,"138,140",,,,2.19,4.94,92.0,0.09,0.78
71,"140,142",I'll rearrange units!,lechuguin,0.8315,0.66,0.29,97.86,0.26,0.94
72,"142,144",Oh,orto,0.7404,0.08,0.18,99.71,0.01,0.02
73,"144,146",,,,0.0,0.16,99.84,0.0,0.0
74,"146,148",Uh-oh. Uh-oh. ,pollerudo,0.7092,0.73,0.24,98.41,0.56,0.05
75,"148,150",Oh,orto,0.7404,37.55,1.02,47.12,11.86,2.44
76,"150,152",,,,10.06,0.87,44.39,43.45,1.23
77,"152,154",,,,0.12,0.02,98.87,0.93,0.05
78,"154,156",,,,0.58,0.03,97.49,1.23,0.67
79,"156,158",Thanks for watching!,No quiero problemas,0.7988,0.27,0.0,43.41,56.29,0.02
80,"158,160",,,,0.29,0.0,89.65,10.0,0.05
81,"160,162",ご視聴ありがとうございました,Alguien ayúdeme,0.7367,0.63,0.0,75.98,23.37,0.02
82,"162,164",Thanks for watching!,No quiero problemas,0.7988,0.09,0.0,98.95,0.96,0.0
83,"164,166",,,,0.22,0.05,99.66,0.06,0.01
84,"166,168",,,,12.71,0.15,76.82,9.17,1.16
85,"168,170",Oh,orto,0.7404,21.77,0.5,59.02,10.49,8.22
86,"170,172",Oh,orto,0.7404,1.04,0.04,0.86,0.8,97.26
87,"172,174",Oh my God! Oh! ,nojo,0.7317,5.59,0.06,8.34,10.5,75.5
88,"174,176",Oh,orto,0.7404,1.77,0.06,96.71,1.19,0.27
89,"176,178",ベガチェ、ベガチェ、オパノイドレイバー,conchetumadre,0.6145,29.04,0.18,32.32,29.65,8.81
90,"178,180","今天视频就拍到这里了,拜拜",Alguien ayúdeme,0.7160,4.34,0.5,77.51,4.68,12.98
91,"180,182",,,,2.13,1.06,65.92,2.06,28.83
92,"182,184",We're done. We're done. We're done. ,Tengo miedo,0.7460,12.62,0.08,35.4,48.82,3.07
93,"184,186","♪ All I want to do is dance, dance, dance, dance ♪",me quitaré la vida,0.6393,4.53,0.01,8.88,82.19,4.39
94,"186,188",Okay,No quiero problemas,0.7119,7.42,0.02,20.55,50.52,21.48
95,"188,190",16. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36. 37. 38. 39. 40. 40. 41. 42. 43. 44.,gay,0.7606,0.02,0.84,97.41,0.03,1.7
96,"190,192",Oh,orto,0.7404,2.96,1.24,91.98,3.13,0.7
97,"192,194",으악!,puto,0.6800,19.48,5.12,22.47,2.37,50.55
98,"194,196",快跑,ayúdenme,0.6401,8.68,35.16,5.38,1.45,49.34
99,"196,198","अगर आपको परकते हैं, आपको परकते हैं, आपको परकते हैं",chota,0.6534,0.69,0.2,98.74,0.31,0.07
100,"198,200",बहुत आपको प्रसुत करते हैं,chota,0.5560,2.03,0.28,92.45,4.79,0.45
101,"200,202",There you go.,aweonao,0.7721,0.0,0.01,99.95,0.04,0.0
102,"202,204",,,,0.03,0.12,99.81,0.03,0.02
103,"204,206",ご視聴ありがとうございました,Alguien ayúdeme,0.7367,0.02,0.04,99.69,0.18,0.07
104,"206,208",,,,0.29,0.68,98.4,0.33,0.3
105,"208,210",Fuck! Fuck! Fuck! Fuck! ,bastardo,0.7248,1.42,0.73,96.25,0.28,1.32
106,"210,212",Let's go! Let's get out of here! Let's go! ,Tengo miedo,0.6860,0.58,1.09,97.44,0.34,0.55
107,"212,214",,,,2.15,2.22,93.64,0.13,1.85
108,"214,216",Oh,orto,0.7404,1.24,1.98,95.91,0.15,0.73
109,"216,218",Oh my god.,violar,0.7624,2.99,0.95,79.88,1.26,14.92
110,"218,220",Fuck!,bastardo,0.6938,0.29,0.53,98.92,0.11,0.16
111,"220,222",,,,0.21,0.23,98.87,0.65,0.04
112,"222,224",ДИНАМИЧНАЯ МУЗЫКА,nos drogaremos,0.5076,0.07,0.01,99.31,0.59,0.02
113,"224,226",НАПРЯЖЕННАЯ МУЗЫКА,haré una masacre,0.6157,0.51,0.09,98.39,0.89,0.12
114,"226,228",,,,0.34,0.36,97.63,0.2,1.47
115,"228,230",,,,0.99,0.08,94.9,3.75,0.29
116,"230,232",Yeah! Yeah! Yeah! ,kara,0.8017,0.17,0.06,99.41,0.17,0.18
117,"232,234",,,,0.47,1.49,96.13,0.24,1.67
118,"234,236",,,,0.07,0.02,98.21,1.7,0.0
119,"236,238",,,,1.39,0.17,97.76,0.43,0.26
120,"238,240",Ah!,ayúdenme,0.7951,0.27,0.67,98.84,0.06,0.16
121,"240,242",Move!,puto,0.7280,1.84,1.71,87.64,1.14,7.66
122,"242,244",,,,3.45,11.38,84.16,0.09,0.91
123,"244,246",Oh! Ah! Ah! Ah! ,ahueonao,0.6142,5.88,8.08,74.78,0.05,11.2
124,"246,248",,,,0.19,0.08,99.4,0.29,0.04
125,"248,250",No! Fine!,tragasable,0.7417,3.12,0.35,89.33,5.92,1.28
126,"250,252",Aaaah!,aweonao,0.5730,1.14,0.46,97.51,0.66,0.24
127,"252,254",УДАРЫ ГРОХОТ,nos drogaremos,0.5781,13.03,1.01,67.25,17.46,1.24
128,"254,256",ah,ahueonao,0.7544,1.1,2.23,88.44,0.51,7.72
129,"256,258",,,,0.62,0.12,98.96,0.2,0.11
130,"258,260",,,,0.16,0.04,99.26,0.37,0.18
131,"260,262",,,,23.86,8.37,17.1,0.59,50.08
132,"262,264",Yeah,gay,0.7475,2.19,0.21,86.57,6.66,4.36
133,"264,266",Oh,orto,0.7404,0.13,0.07,98.83,0.92,0.05
134,"266,268",,,,0.32,0.06,96.44,2.92,0.27
135,"268,270",,,,0.99,0.02,63.15,35.11,0.73
136,"270,272",Fuck it! Please let him go!,puto,0.7916,7.75,0.21,84.95,4.96,2.13
137,"272,274",Okay!,No quiero problemas,0.7702,0.99,0.13,95.02,1.35,2.52
138,"274,276",,,,1.79,1.48,73.71,0.6,22.42
139,"276,278",,,,0.27,0.07,95.22,0.68,3.77
